Facility Name,Site Address,Community,Inspection Area,Last Inspected,Last Infractions,Services
COCO FRESH TEA AND JUICE,"#3-203 Lester St,  WATERLOO ON N2L 0B5",WATERLOO,Food Safety,19-Oct-2020,,-
COFFEE & T,"#3650 Lobsinger Line ,  St. Clements ON",ST. CLEMENTS,Food Safety,-,,-
COFFEE CULTURE,"#1-215 The Boardwalk,  KITCHENER ON N2N 0B1",KITCHENER,Food Safety,16-Jan-2020,1,-
COFFEE CULTURE CAFE & EATERY,"#138 Main St,  CAMBRIDGE ON N1R 1V7",CAMBRIDGE,Food Safety,03-Feb-2021,,-
COFFEE CULTURE CAFE & EATERY,"#1 King St W,  KITCHENER ON N2G 1A1",KITCHENER,Food Safety,06-Jan-2020,2,-
"COFFEE HOUSE ON GREENBROOK, THE","#15-421 Greenbrook Drive,  Kitchener ON N2M 4K1",KITCHENER,Food Safety,03-Feb-2020,2,-
COFFEE OF THE WORLD,"#1A-573 King St N,  WATERLOO ON N2L 5Z7",WATERLOO,Food Safety,03-Dec-2019,2,-
COFFEE TIME,"#2351 FISCHER-HALLMAN RD,  NORTH DUMFRIES ON N0B 2E0",NORTH DUMFRIES,Food Safety,09-Dec-2020,1,-
COFFEE TIME DONUTS,"#255 KING ST W,  KITCHENER ON N2G 4P9",KITCHENER,Food Safety,24-Jan-2020,1,-
COLIN'S HOT DOG CART,"#3188 KING ST E,  KITCHENER ON N2A 1B3",KITCHENER,Food Safety,15-Jul-2020,,-
COLUMBIA FOREST LONG TERM CARE CENTRE,"#650 MOUNTAIN MAPLE AVE,  WATERLOO ON N2V 2P7",WATERLOO,Food Safety,01-Dec-2020,4,-
COLUMBUS CONFERENCE CENTRE,"#145 DEARBORN PL,  WATERLOO ON N2J 4N5",WATERLOO,Food Safety,18-Dec-2019,,-
COME FRY WITH ME,"#4592 KING ST E,  KITCHENER ON N2P 2G6",KITCHENER,Food Safety,16-May-2019,,-
COMMERCIAL TAVERN,"#1303 MARYHILL RD,  MARYHILL ON N0B 2B0",MARYHILL,Food Safety,30-Oct-2019,,-
COMMUNITY KITCHEN CO-OPERATIVE KITCHENER,"#23 Water St N,  Kitchener ON N2H 5A4",KITCHENER,Food Safety,26-Jun-2020,,-
COMMUNITY LIVING CAMBRIDGE - NORTH LODGE,"#162 HESPELER RD,  CAMBRIDGE ON N1R 6V7",CAMBRIDGE,Food Safety,29-Sep-2020,2,-
COMMUNITY LIVING CAMBRIDGE - SOUTH LODGE,"#162 HESPELER RD,  CAMBRIDGE ON N1R 6V7",CAMBRIDGE,Food Safety,08-Apr-2019,1,-
CONCORDIA CLUB,"#429 OTTAWA ST S,  KITCHENER ON N2M 3P6",KITCHENER,Food Safety,24-Sep-2020,,-
CONCORDIA FARM CAMPGROUND - HOME ON THE RANGE,"#1212 CHRISTNER RD,  WILMOT ON N3A 3K6",WILMOT,Food Safety,13-Jun-2019,2,-
CONESTOGA CATERING,"#110 MANITOU DR,  KITCHENER ON N3A 4M6",KITCHENER,Food Safety,04-Jun-2020,2,-
CONESTOGA COLLEGE - BLOOM RESTAURANT,"#108 UNIVERSITY Ave E,  WATERLOO ON N2J 2W2",WATERLOO,Food Safety,14-Nov-2019,3,-
CONESTOGA COLLEGE - CHARTWELLS MAIN KITCHEN,"#299 DOON VALLEY DR,  KITCHENER ON N2G 4M4",KITCHENER,Food Safety,10-Feb-2020,,-
CONESTOGA COLLEGE - KING EDWARD YOUTH DEVELOPMENT PROGRAM,"#709 KING ST W,  KITCHENER ON N2G 1E3",KITCHENER,Food Safety,11-Dec-2019,,-
CONESTOGA COLLEGE CHILD MINDING WATERLOO,"#108 University Ave E,  Waterloo ON N2J 2W2",WATERLOO,Food Safety,31-May-2019,,-
CONESTOGA COLLEGE DAY CARE - DOON,"#299 DOON VALLEY DR,  KITCHENER ON N2G 4M4",KITCHENER,Food Safety,18-Aug-2020,1,-
CONESTOGA COLLEGE JF CARMICHAEL YDP,"#80 Patricia Ave,  KITCHENER ON N2M 1J3",KITCHENER,Food Safety,06-Dec-2019,2,-
CONESTOGA CONVENIENCE,"#E-209 LEXINGTON RD,  WATERLOO ON N2K 2E1",WATERLOO,Food Safety,30-Apr-2020,,-
CONESTOGA COUNTRY CLUB,"#400 GOLF COURSE RD,  CONESTOGO ON N0B 1N0",CONESTOGO,Food Safety,29-Jul-2020,2,-
CONESTOGA LODGE,"#55 HUGO CRES,  KITCHENER ON N2M 5J1",KITCHENER,Food Safety,18-Sep-2020,3,-
CONESTOGA STUDENT SERVICES INCORPORATED(PITA PIT),"#299 Doon Valley DR,  KITCHENER ON N2G 4M4",KITCHENER,Food Safety,26-Sep-2019,,-
CONFECTIONERY COUSINS,"#5-73 Hincks St,  NEW HAMBURG ON N3A 2N2",NEW HAMBURG,Food Safety,21-Feb-2020,4,-
CONRAD CENTRE FOR THE PERFORMING ARTS,"#36 KING ST W,  KITCHENER ON N2G 1A3",KITCHENER,Food Safety,11-Dec-2019,,-
CONRAD GREBEL COLLEGE,"#140 WESTMOUNT RD N,  WATERLOO ON N2L 3G1",WATERLOO,Food Safety,30-Oct-2020,2,-
CONTINENTE AZORES PASTRY AND CATERING,"#47 Hazelwood Cres,  CAMBRIDGE ON N1R 7T8",CAMBRIDGE,Food Safety,09-Oct-2019,1,-
CONVENIENCE AT DUKE,"#8 Duke St E,  KITCHENER ON N2H 1A3",KITCHENER,Food Safety,16-Sep-2019,1,-
COPPER BRANCH,"#106-80 KING ST S,  WATERLOO ON N2J 1P5",WATERLOO,Food Safety,20-Feb-2020,2,-
CORA BREAKFAST AND LUNCH,"#75 King St S,  WATERLOO ON N2J 1P2",WATERLOO,Food Safety,05-Feb-2020,,-
CORE LIFESTYLE & RECREATION CENTER,"#401 NEW DUNDEE RD,  North Dumfries ON N2P 2N8",KITCHENER,Food Safety,09-Jan-2020,2,-
"CORNER STORE, THE","#5190 AMENT LINE,  LINWOOD ON N0B 2A0",LINWOOD,Food Safety,26-Nov-2019,,-
CORONATION EARLY LEARNING CENTRE,"#C2-765 Coronation Blvd,  Cambridge ON N1R 0B6",CAMBRIDGE,Food Safety,29-Jul-2020,,-
COSTCO,"#4438 KING ST E,  KITCHENER ON N2E 3W6",KITCHENER,Food Safety,01-Oct-2020,,-
COSTCO WHOLESALE,"#930 ERB St WST,  WATERLOO ON N2J 3Z4",WATERLOO,Food Safety,23-Nov-2020,,-
COUNTERPOINT BREWING COMPANY INC,"#4-935 FREDERICK ST,  KITCHENER ON N2B 2B9",KITCHENER,Food Safety,13-Feb-2020,,-
COUNTRY BOY FAMILY RESTAURANT,"#5 MANITOU DR,  KITCHENER ON N2C 2J6",KITCHENER,Food Safety,04-Jun-2020,3,-
COUNTRY BULK,"#845 WEBER ST N,  WOOLWICH ON N2J 4G8",WOOLWICH,Food Safety,-,,-
COUNTRY GARDENS SNACK BAR,"#1335 WITMER RD,  WILMOT ON N0B 2H0",WILMOT,Food Safety,26-Jun-2020,1,-
COUNTRY GIRL FAMILY RESTAURANT,"#15-561 HESPELER RD,  CAMBRIDGE ON N1R 6J4",CAMBRIDGE,Food Safety,27-Feb-2020,2,-
COUNTRY HILLS COMMUNITY CENTRE,"#100 RITTENHOUSE RD,  KITCHENER ON N2E 2M9",KITCHENER,Food Safety,12-Aug-2019,,-
COUNTRY PANTRY,"#3048 Lobsinger Line,  HEIDELBERG ON N0B 2M1",HEIDELBERG,Food Safety,27-Jan-2020,,-
COUNTRY STYLE PRODUCTS,"#4933 WILMOT-EASTHOPE RD,  WILMOT ON N0B 2T0",WILMOT,Food Safety,10-Dec-2019,,-
COURT AT LAURELWOOD,"#605 LAURELWOOD DR,  WATERLOO ON N2V 2W7",WATERLOO,Food Safety,13-Dec-2019,3,-
COURTLAND ESSO,"#1321 COURTLAND Ave E,  KITCHENER ON N2C 1K8",KITCHENER,Food Safety,19-Nov-2019,,-
COURTYARD KITCHENS THE,"#104-141 Whitney Pl,  KITCHENER ON N2G 2X8",KITCHENER,Food Safety,14-Jan-2020,,-
COURTYARD MARRIOTT,"#50 BENJAMIN RD,  WOOLWICH ON N2V 2G8",WOOLWICH,Food Safety,27-Sep-2019,1,-
CRABBY JOE'S TAP & GRILL,"#65 University Ave E,  WATERLOO ON N2J 2V9",WATERLOO,Food Safety,09-Sep-2020,1,-
CRABBY JOE'S TAP & GRILL,"#70 KING ST E,  KITCHENER ON N2G 2K6",KITCHENER,Food Safety,11-Feb-2020,3,-
CRAFTY RAMEN,"#5-276 King Street W,  Kitchener ON N2G 1B6",KITCHENER,Food Safety,08-Jun-2020,,-
CRAZY CANUCK,"#845 Weber ST N,  WOOLWICH ON N2J 4G8",WOOLWICH,Food Safety,11-Mar-2020,3,-
CRAZY CANUCK CABOOSE,"#845 WEBER ST N,  Woolwich ON N0B 2N0",ST. JACOBS,Food Safety,11-Oct-2019,1,-
CRAZY CANUCK SMALL TRUCK,"#845 WEBER ST N,  WOOLWICH ON N0B 2M0",ST. JACOBS,Food Safety,07-Oct-2019,,-
"CRAZY CANUCK, THE","#141 Ontario St N,  Kitchener ON N2H 4Y5",KITCHENER,Food Safety,27-Jan-2021,1,-
CREATIVE BEGINNINGS CHILD CARE CENTRE - SIR ADAM BECK,"#1140 Snyder's RD W,  WILMOT ON N3A 3L3",WILMOT,Food Safety,01-Sep-2020,,-
CREATIVE BEGINNINGS DAY CARE,"#155 LIVINGSTON BLVD,  BADEN ON N3A 4M6",BADEN,Food Safety,16-Jul-2020,1,-
CREEKSIDE PHEASANTRY,"#5420 Streicher Line,  Wellesley ON N0K 1L0",WELLESLEY,Food Safety,16-Dec-2019,,-
CREMA PASTRY AND BAKE SHOP,"#17-421 GREENBROOK DR,  KITCHENER ON N2M 4K1",KITCHENER,Food Safety,15-Jan-2020,1,-
CREME CAFE,"#101-2 QUEEN ST E,  CAMBRIDGE ON N3C 2A6",CAMBRIDGE,Food Safety,02-Sep-2020,3,-
CREPE DE LICIOUS,"#352-355 Hespeler RD,  CAMBRIDGE ON N1R 6B3",CAMBRIDGE,Food Safety,21-Jan-2020,,-
CRESSMANS MEATS LTD.,"#562 HURON ST,  NEW HAMBURG ON N3A 1J9",NEW HAMBURG,Food Safety,20-Jun-2019,3,-
CRISPY SLICE,"#A7-2480 Homer Watson Blvd,  Kitchener Ontario N2P 2R5",KITCHENER,Food Safety,16-Jan-2021,2,-
CROSSROADS BOARD GAME CAFE,"#11-258 King St N,  WATERLOO ON N2J 2Y9",WATERLOO,Food Safety,29-Nov-2019,2,-
CROWSFOOT SMOKEHAUS,"#-1872 SAWMILL ROAD,  CONESTOGO ON N0B1N0",CONESTOGO,Food Safety,06-Jan-2021,,-
CRYSTAL PALACE CHINESE RESTAURANT,"#10 KING ST S,  WATERLOO ON N2J 1N8",WATERLOO,Food Safety,13-Dec-2019,3,-
CRYSTAL VIEW MENNONITE CHURCH,"#2167 FLORADALE RD,  FLORADALE ON N0B 1V0",FLORADALE,Food Safety,13-Nov-2019,,-
CS BAKED GOODS,"#33 Queen St S,  Kitchener",KITCHENER,Food Safety,18-Feb-2020,,-
CS BAKED GOODS,"#V17 -  154 Victoria St. S,  Kitchener ON N2G 2B5",KITCHENER,Food Safety,-,,-
CT SHAWARMA,"#500-115 Christopher Dr,  CAMBRIDGE ON N1R 4S1",CAMBRIDGE,Food Safety,08-Sep-2020,,-
"CULINARY STUDIO KW INC, THE","#A-740 BELMONT Ave W,  KITCHENER ON N2M 1P2",KITCHENER,Food Safety,19-Nov-2020,1,-
"CULTURE BOX, THE","#188 HIGHLAND ROAD WEST,  KITCHENER ON N2M 3C2",KITCHENER,Food Safety,10-Aug-2020,1,-
CULTURES,"#F12-550 KING ST N,  WATERLOO ON N2L 5W6",WATERLOO,Food Safety,09-Dec-2019,2,-
D SPOT CAFE,"#1002-225 Fairway Rd S,  Kitchener ON N2C 1X2",KITCHENER,Food Safety,02-Oct-2020,,-
"DAILY GRILL, THE","#7-615 DAVENPORT RD,  WATERLOO ON N2V 2G2",WATERLOO,Food Safety,04-Nov-2020,1,-
DAIRY QUEEN,"#238 WEBER ST N,  WATERLOO ON N2J 3H4",WATERLOO,Food Safety,14-Jan-2020,,-
DAIRY QUEEN,"#328 KING ST E,  CAMBRIDGE ON N3H 3M8",CAMBRIDGE,Food Safety,04-Apr-2019,,-
DAIRY QUEEN,"#13-720 WESTMOUNT RD E,  KITCHENER ON N2E 2M6",KITCHENER,Food Safety,21-Aug-2020,4,-
DAIRY QUEEN,"#258 WATER ST N,  CAMBRIDGE ON N1R 3C2",CAMBRIDGE,Food Safety,20-Jan-2021,1,-
DAIRY QUEEN,"#120 OTTAWA ST N,  KITCHENER ON N2H 3K4",KITCHENER,Food Safety,21-Jul-2020,3,-
DAIRY QUEEN,"#123 PIONEER DR,  KITCHENER ON N2P 1K8",KITCHENER,Food Safety,19-Oct-2020,3,-
DAIRY QUEEN,"#A1-628 KING ST N,  WATERLOO ON N2B 0C7",WATERLOO,Food Safety,24-Feb-2020,,-
DAIRY QUEEN,"#50 WESTMOUNT RD N,  WATERLOO ON N2L 2R5",WATERLOO,Food Safety,08-Jan-2020,2,-
DAIRY QUEEN,"#140-600 LAURELWOOD DR,  WATERLOO ON N2V 0A2",WATERLOO,Food Safety,29-Jan-2020,1,-
DAIRY QUEEN  BOARDWALK,"#1-330 The Boardwalk,  WATERLOO ON N2T 0A6",WATERLOO,Food Safety,20-Jan-2020,,-
DAIRY QUEEN ORANGE JULIUS,"#C031- 2960 KINGSWAY DR,  KITCHENER ON N2C 1X1",KITCHENER,Food Safety,16-Jun-2020,,-
DAIRY QUEEN/ORANGE JULIUS,"#355 HESPELER RD,  CAMBRIDGE ON N1R 6B3",CAMBRIDGE,Food Safety,21-Jan-2020,4,-
DAISY MART,"#21 McKay ST,  CAMBRIDGE ON N1R 4G2",CAMBRIDGE,Food Safety,20-Mar-2019,,-
DAISY MART,"#500 GLEN FORREST BLVD,  WATERLOO ON N2L 5G4",WATERLOO,Food Safety,06-Jan-2020,,-
DAISY MART,"#3-304 ST ANDREWS ST,  CAMBRIDGE ON N2S 1P3",CAMBRIDGE,Food Safety,17-Apr-2019,3,-
DAISY MART,"#1241 OTTAWA ST S,  KITCHENER ON N2E 1L9",KITCHENER,Food Safety,10-Jan-2020,,-
DAISY MART- FISCHER HALLMAN,"#8-851 Fischer-Hallman Rd,  KITCHENER ON N2M 5N8",KITCHENER,Food Safety,22-Jan-2020,,-
DAKSHIN,"#5A-600 Hespeler Rd,  N1R 6J8",CAMBRIDGE,Food Safety,29-Aug-2019,1,-
DALLAS,"#312 KING ST W,  KITCHENER ON N2G 1B7",KITCHENER,Food Safety,23-Jul-2020,3,-
DANA SHORTT GOURMET INC,"#101-55 ERB ST E,  WATERLOO ON N2J 4K8",WATERLOO,Food Safety,21-Oct-2019,,-
DANIEL'S CHEESE AND DELI,"#4-250 THOMPSON DR,  CAMBRIDGE ON N1T 2E3",CAMBRIDGE,Food Safety,06-Jul-2020,2,-
DARING RESIDENTIAL HOMES,"#226 QUEEN ST S,  KITCHENER ON N2G 1W3",KITCHENER,Food Safety,07-Aug-2019,,-
DARLISE CAFE,"#33 Queen St S,  KITCHENER ON N2G 1V8",KITCHENER,Food Safety,23-Oct-2020,1,-
DAS FRITTER HAUS,"#44 Woolwich St,  KITCHENER ON N2K 1S1",KITCHENER,Food Safety,06-Apr-2019,,-
DAVENPORT CATERING,"#6-100 FROBISHER DR,  WATERLOO ON N2V 2A1",WATERLOO,Food Safety,28-Jan-2020,2,-
DAVENPORT PIZZA,"#5-615 DAVENPORT RD,  WATERLOO ON N2L 5Z3",WATERLOO,Food Safety,14-Jan-2021,5,-
DAVID MARTIN,"#5190 AMENT LINE LINWOOD,  ON N0B 2A0",WELLESLEY,Food Safety,26-Nov-2019,,-
DAVID SIMON BROUGHTON  2ND,"#336 Eagle St N,  Cambridge N3H 1C2",AYR,Food Safety,23-Jul-2020,,-
DAVID'S FRESH CUT FRIES,"#36 LANCASTER ST W,  KITCHENER ON N2H 4S9",KITCHENER,Food Safety,11-May-2020,3,-
DAVIDSTEA,"#114B-355 HESPELER RD,  CAMBRIDGE ON N1R 6B3",CAMBRIDGE,Food Safety,24-Apr-2019,,-
DAVIDSTEA,"#2960 KINGSWAY DR,  KITCHENER ON N2C 1X1",KITCHENER,Food Safety,04-Feb-2020,,-
DEARBORN RESTAURANT,"#12-105 LEXINGTON RD,  WATERLOO ON N2J 4R7",WATERLOO,Food Safety,20-Nov-2020,3,-
DEBRODNIKS DONUTS,"#6-36 Northfield Dr,  Waterloo ON N2V 2G2",WATERLOO,Food Safety,07-Feb-2021,,-
DEBRODNIKS DONUTS,"#8-700 Strasburg Rd,  KITCHENER ON N2E 2M2",KITCHENER,Food Safety,23-Jun-2020,,-
DEER RIDGE GOLF CLUB,"#200 DEER RIDGE DR,  KITCHENER ON N2P 2K5",KITCHENER,Food Safety,16-Jun-2020,3,-
DEE'S BAKERY,"#118 St Andrews St,  CAMBRIDGE ON N1S 1M8",CAMBRIDGE,Food Safety,16-Jan-2020,1,-
DELI WORKS - PARTY SOLUTIONS,"#40 WEBER ST E,  KITCHENER ON N2H 6R3",KITCHENER,Food Safety,12-Feb-2020,1,-
DELICIOUS PIZZA BAKERY,"#900 FAIRWAY CRES,  KITCHENER ON N2A 0A1",KITCHENER,Food Safety,18-Nov-2020,1,-
DELS,"#2980 KING ST E,  KITCHENER ON N2A 1A9",KITCHENER,Food Safety,09-Nov-2020,,-
DELTA HOTEL SERVERY,"#110 Erb St W,  WATERLOO ON N2L 6C2",WATERLOO,Food Safety,21-Jan-2020,2,-
DERBECKER'S HERITAGE HOUSE,"#54 EBY ST,  ST. JACOBS ON N0B 2N0",ST. JACOBS,Food Safety,13-Jan-2020,1,-
DEROS ESSO/ TIM HORTONS,"#593 VICTORIA ST N,  KITCHENER ON N2H 5B9",KITCHENER,Food Safety,13-Feb-2020,1,-
DESCENDANTS BEER & BEVERAGE LTD,"#319 Victoria St N,  KITCHENER ON N2H 5E1",KITCHENER,Food Safety,27-Jan-2021,1,-
DESIGN ME A CUPCAKE,"#16 BOWIE DR,  CAMBRIDGE ON N1R 8M4",CAMBRIDGE,Food Safety,10-Apr-2019,,-
DETTWEILER'S SAUSAGE,"#2057 VICTORIA ST N,  BRESLAU ON N0B 1M0",BRESLAU,Food Safety,29-Jan-2020,,-
DI PATTY SHOP,"#5-368 Queen ST W,  Cambridge ON N3C 1G8",CAMBRIDGE,Food Safety,17-Sep-2020,,-
DI PIETRO'S,"#30 GLAMIS RD,  CAMBRIDGE ON N1R 7H5",CAMBRIDGE,Food Safety,16-Mar-2020,3,-
DIA'S DELI,"#14-100 PARK ST,  KITCHENER ON N2G 1M6",KITCHENER,Food Safety,18-Sep-2019,,-
DINO'S PIZZA & WINGS,"#40 DUNDAS ST S,  CAMBRIDGE ON N1R 5N6",CAMBRIDGE,Food Safety,26-Jan-2021,2,-
"DISPENSARY, THE","#10 Victoria St S,  KITCHENER ON N2G 1J8",KITCHENER,Food Safety,09-Jan-2020,,-
DISTINCTLY TEA INC.,"#5-187 King St S,  WATERLOO ON N2J 1R1",WATERLOO,Food Safety,30-Jan-2020,,-
DISTRICT NIGHTCLUB,"#667 KING ST W,  KITCHENER ON N2G 1C9",KITCHENER,Food Safety,13-Nov-2019,2,-
DIVA PETROLEUM,"#22 Concession ST,  CAMBRIDGE ON N1R 2G7",CAMBRIDGE,Food Safety,21-Jan-2021,2,-
DIVE BAR,"#85 KING ST N,  WATERLOO ON N2J 2X3",WATERLOO,Food Safety,-,,-
DIVINE-O-MITE-FOOD TRUCK,"#485 Dundas St N,  Cambridge ON N1R 5R6",CAMBRIDGE,Food Safety,-,,-
DIWAN RESTAURANT,"#9,10,11-1001 Langs DR,  CAMBRIDGE ON N1R 7K7",CAMBRIDGE,Food Safety,20-Aug-2020,5,-
DJ'S LAUNDRY & CAFE,"#751 VICTORIA ST S,  KITCHENER ON N2M 3B2",KITCHENER,Food Safety,10-Apr-2019,1,-
DOGGSHOPPE T.O.,"#99 Regina St S,  Waterloo ON N2J 4V3",WATERLOO,Food Safety,09-Jul-2020,,-
DOLLAR HAVEN & DISCOUNT,"#385 WATERLOO ST,  NEW HAMBURG ON N3A 1S6",NEW HAMBURG,Food Safety,23-Jan-2020,,-
DOLLAR MART,"#11-274 HIGHLAND RD W,  KITCHENER ON N2M 3C5",KITCHENER,Food Safety,29-Nov-2019,,-
DOLLAR PLUS DEALS,"#800-115 Christopher Dr,  Cambridge ON N1R 4S1",AYR,Food Safety,25-Apr-2019,,-
DOLLAR POWER,"#6D-75 Dundas St S,  CAMBRIDGE ON N1R 6G5",CAMBRIDGE,Food Safety,29-Mar-2019,,-
DOLLAR TREE,"#20B-700 STRASBURG RD,  KITCHENER ON N2E 2M2",KITCHENER,Food Safety,22-Jan-2020,1,-
DOLLAR TREE,"#585 Weber St N,  Waterloo ON",WATERLOO,Food Safety,29-Jan-2020,1,-
DOLLAR TREE,"#1005 Ottawa St N,  Kitchener ON",KITCHENER,Food Safety,07-Jan-2020,,-
DOLLAR TREE CANADA,"#180 Holiday Inn Dr,  CAMBRIDGE ON N3C 1Z4",CAMBRIDGE,Food Safety,01-Mar-2019,3,-
DOLLARAMA,"#462 Albert Street,  Waterloo ON N2L 3V4",WATERLOO,Food Safety,21-Oct-2020,,-
DOLLARAMA,"#1 HESPELER RD,  CAMBRIDGE ON N1R 8L4",CAMBRIDGE,Food Safety,-,,-
DOLLARAMA,"#16, 17, 19-130 Cedar ST,  CAMBRIDGE ON N1S 1W4",CAMBRIDGE,Food Safety,02-Jan-2020,,-
DOLLARAMA,"#385 FREDERICK ST,  KITCHENER ON N2H 2P2",KITCHENER,Food Safety,25-Oct-2019,,-
DOLLARAMA,"#53 King St E,  KITCHENER ON",KITCHENER,Food Safety,15-Jan-2020,,-
DOLLARAMA,"#125-980 FRANKLIN BLVD,  CAMBRIDGE ON N1R 8R3",CAMBRIDGE,Food Safety,12-Feb-2020,,-
DOLLARAMA,"#700 WESTMOUNT RD E,  KITCHENER ON N2E 2M6",KITCHENER,Food Safety,24-Jan-2020,1,-
DOLLARAMA,"#450 ERB ST W,  WATERLOO ON N2T 1H4",WATERLOO,Food Safety,09-Dec-2019,,-
DOLLARAMA,"#2-330 Farmer's Market Rd,  WOOLWICH ON N2V 0A5",WOOLWICH,Food Safety,16-Sep-2019,,-
DOLLARAMA,"#600 LAURELWOOD DR,  WATERLOO ON N2V 0A2",WATERLOO,Food Safety,28-Nov-2019,1,-
DOLLARAMA,"#655 Fairway Rd,  KITCHENER ON N2C 1X4",KITCHENER,Food Safety,20-Dec-2020,1,-
DOLLARAMA,"#42 PINEBUSH RD,  CAMBRIDGE ON N1R 8K5",CAMBRIDGE,Food Safety,21-May-2019,4,-
DOLLARAMA,"#370 Highland Rd,  Kitchener ON N2M 5J9",KITCHENER,Food Safety,03-Apr-2019,,-
DOLLARAMA,"#1400 Ottawa St S,  KITCHENER ON",KITCHENER,Food Safety,15-Jan-2020,1,-
DOLLARAMA,"#564 King Street North,  Waterloo ON",AYR,Food Safety,22-Oct-2020,,-
DOLLARAMA,"#31 & 33-200 FRANKLIN BLVD,  CAMBRIDGE ON N1R 8N8",CAMBRIDGE,Food Safety,20-Feb-2020,3,-
DOLLARAMA,"#123 Pioneer Park,  Dr. Kitchener ON N2P 2A3",KITCHENER,Food Safety,-,,-
DOLLARAMA,"#6-525 Highland Rd W,  KITCHENER ON N2M 5K1",KITCHENER,Food Safety,19-Mar-2019,,-
DOLLARAMA,"#355 HESPELER RD,  CAMBRIDGE ON N1R 6B3",CAMBRIDGE,Food Safety,08-May-2019,,-
DOLLARAMA,"#551 HESPELER RD,  CAMBRIDGE ON N1R 6J3",CAMBRIDGE,Food Safety,21-Jan-2020,,-
DOLLARAMA,"#1375 WEBER ST E,  KITCHENER ON N2A 3Y7",KITCHENER,Food Safety,11-Aug-2020,,-
DOLLARAMA,"#1-295 The Boardwalk,  WATERLOO ON N2T 0A6",WATERLOO,Food Safety,09-Jan-2020,,-
DOMACHOWSKA HOT DOG CART,"#195 King St W,  Kitchener ON",KITCHENER,Food Safety,15-Jul-2020,,-
DOMINO'S,"#221 Holiday Inn Dr.,  CAMBRIDGE ON N3C 3T2",CAMBRIDGE,Food Safety,17-Sep-2020,,-
DOMINO'S PIZZA,"#4B-655 Fairway Rd. S,  Kitchener ON N2C 1X4",KITCHENER,Food Safety,17-Jun-2020,1,-
DOMINO'S PIZZA,"#2-450 COLUMBIA ST W,  WATERLOO ON N2T 2W1",WATERLOO,Food Safety,15-Jan-2020,2,-
DOMINO'S PIZZA,"#3B-800 FRANKLIN BLVD,  CAMBRIDGE ON N1R 7Z1",CAMBRIDGE,Food Safety,24-Jul-2020,2,-
DOMINO'S PIZZA,"#1241 WEBER ST E,  KITCHENER ON N2A 1C2",KITCHENER,Food Safety,23-Sep-2020,,-
DOMINO'S PIZZA,"#110-325 MAX BECKER DR,  KITCHENER ON N2E 4H5",KITCHENER,Food Safety,17-Jul-2020,2,-
DOMINO'S PIZZA,"#-809 VICTORIA STREET NORTH,  KITCHENER ON",KITCHENER,Food Safety,10-Feb-2020,1,-
DOMINO'S PIZZA,"#6-65 University Ave E,  WATERLOO ON N2J 2V9",WATERLOO,Food Safety,25-Feb-2020,3,-
DOMINO'S PIZZA,"#B-188 Highland Rd W,  KITCHENER ON N2M 3C2",KITCHENER,Food Safety,03-Jul-2020,,-
DOMINO'S PIZZA,"#1531 EAGLE ST N,  CAMBRIDGE ON N3H 1E1",CAMBRIDGE,Food Safety,10-Mar-2020,2,-
DOMINO'S PIZZA,"#5-195 Franklin Blvd,  Cambridge ON N1R 8H3",CAMBRIDGE,Food Safety,23-Jul-2020,,-
DOMINO'S PIZZA,"#190 ST ANDREWS St,  CAMBRIDGE ON N1S 1N5",CAMBRIDGE,Food Safety,10-Feb-2020,4,-
DOON PIONEER PARK COMMUNITY CENTRE,"#150 PIONEER DR,  KITCHENER ON N2P 2C2",KITCHENER,Food Safety,19-Jun-2020,1,-
DOON PRESBYTERIAN CHURCH,"#35 ROOS ST,  KITCHENER ON N2P 2B9",KITCHENER,Food Safety,05-Dec-2019,,-
DOON VALLEY GOLF COURSE,"#500 DOON VALLEY DR,  KITCHENER ON N2P 1B4",KITCHENER,Food Safety,11-Oct-2019,1,-
DOON VALLEY MANOR,"#86 DOON VALLEY DR,  KITCHENER ON N2P 1B2",KITCHENER,Food Safety,09-Jan-2020,1,-
DOON VILLAGE RETIREMENT RESIDENCE,"#868 DOON VILLAGE RD,  KITCHENER ON N2P 3A4",KITCHENER,Food Safety,10-Feb-2021,1,-
DOREL'S FOOD LTD.,"#101 WHITNEY PL,  KITCHENER ON N2G 2X8",KITCHENER,Food Safety,04-Jul-2019,3,-
DOUBLE DEAL PIZZA,"#101 HAZELGLEN DR,  KITCHENER ON N2M 2E4",KITCHENER,Food Safety,20-Oct-2020,3,-
DOUBLE DOUBLE PIZZA AND CHICKEN,"#8-347 ERB ST W,  WATERLOO ON N2L 1W4",WATERLOO,Food Safety,23-Dec-2019,1,-
DOUBLE DOUBLE PIZZA AND CHICKEN,"#5-95 Saginaw Pky,  CAMBRIDGE ON N1T 1W2",CAMBRIDGE,Food Safety,20-Feb-2020,2,-
DOUBLE DOUBLE PIZZA AND CHICKEN,"#300-115 Christopher Dr,  Cambridge ON N1R 4S1",CAMBRIDGE,Food Safety,05-Feb-2021,2,-
DOUBLE DOUBLE PIZZA CHICKEN,"#F-3101 KINGSWAY DR,  KITCHENER ON N2C 2M5",KITCHENER,Food Safety,10-Feb-2021,3,-
DOUBLE DOUBLE PIZZA CHICKEN,"#153 KING ST W,  KITCHENER ON N2G 1A7",KITCHENER,Food Safety,08-Oct-2019,,-
